Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0.0000,0.0000,0.0000,0.0001
0.0200,0.0000,-0.0001,0.0002
0.0400,0.0001,0.0000,0.0001
0.0600,0.0003,0.0001,0.0002
0.0800,0.0007,0.0002,0.0001
0.1000,0.0011,0.0002,0.0002
0.1200,0.0015,0.0002,0.0002
0.1400,0.0019,0.0003,0.0002
0.1600,0.0022,0.0003,0.0003
0.1800,0.0027,0.0004,0.0003
0.2000,0.0032,0.0005,0.0004
0.2200,0.0037,0.0006,0.0004
0.2400,0.0041,0.0007,0.0005
0.2600,0.0046,0.0008,0.0005
0.2800,0.0049,0.0009,0.0006
0.3000,0.0052,0.0011,0.0007
0.3200,0.0055,0.0013,0.0008
0.3400,0.0057,0.0017,0.0009
0.3600,0.0060,0.0019,0.0010
0.3800,0.0063,0.0021,0.0011
0.4000,0.0065,0.0022,0.0011
0.4200,0.0069,0.0024,0.0012
0.4400,0.0072,0.0026,0.0012
0.4600,0.0076,0.0027,0.0013
0.4800,0.0080,0.0028,0.0014
0.5000,0.0085,0.0030,0.0014
0.5200,0.0088,0.0032,0.0015
0.5400,0.0092,0.0034,0.0015
0.5600,0.0096,0.0034,0.0016
0.5800,0.0099,0.0035,0.0016
0.6000,0.0102,0.0037,0.0017
0.6200,0.0105,0.0038,0.0017
0.6400,0.0108,0.0037,0.0018
0.6600,0.0110,0.0038,0.0018
0.6800,0.0113,0.0040,0.0019
0.7000,0.0116,0.0041,0.0019
0.7200,0.0118,0.0041,0.0020
0.7400,0.0122,0.0043,0.0020
0.7600,0.0125,0.0047,0.0020
0.7800,0.0129,0.0052,0.0020
0.8000,0.0133,0.0056,0.0020
0.8200,0.0138,0.0061,0.0021
0.8400,0.0142,0.0069,0.0021
0.8600,0.0146,0.0076,0.0021
0.8800,0.0149,0.0081,0.0021
0.9000,0.0153,0.0088,0.0021
0.9200,0.0155,0.0094,0.0022
0.9400,0.0158,0.0097,0.0022
0.9600,0.0161,0.0104,0.0022
0.9800,0.0163,0.0111,0.0023
1.0000,0.0166,0.0116,0.0023
1.0200,0.0169,0.0122,0.0023
1.0400,0.0172,0.0126,0.0023
1.0600,0.0175,0.0133,0.0023
1.0800,0.0179,0.0142,0.0024
1.1000,0.0184,0.0151,0.0025
1.1200,0.0189,0.0161,0.0025
1.1400,0.0192,0.0171,0.0026
1.1600,0.0196,0.0180,0.0026
1.1800,0.0199,0.0185,0.0027
1.2000,0.0202,0.0192,0.0027
1.2200,0.0205,0.0200,0.0028
1.2400,0.0208,0.0207,0.0029
1.2600,0.0211,0.0214,0.0030
1.2800,0.0213,0.0221,0.0030
1.3000,0.0216,0.0226,0.0031
1.3200,0.0219,0.0231,0.0032
1.3400,0.0222,0.0239,0.0033
1.3600,0.0225,0.0246,0.0034
1.3800,0.0229,0.0254,0.0035
1.4000,0.0233,0.0263,0.0036
1.4200,0.0237,0.0274,0.0037
1.4400,0.0242,0.0286,0.0039
1.4600,0.0246,0.0298,0.0040
1.4800,0.0249,0.0308,0.0042
1.5000,0.0253,0.0317,0.0043
1.5200,0.0256,0.0325,0.0044
1.5400,0.0258,0.0330,0.0045
1.5600,0.0261,0.0337,0.0046
1.5800,0.0264,0.0345,0.0047
1.6000,0.0266,0.0353,0.0047
1.6200,0.0269,0.0360,0.0048
1.6400,0.0272,0.0367,0.0049
1.6600,0.0275,0.0375,0.0050
1.6800,0.0279,0.0384,0.0051
1.7000,0.0283,0.0395,0.0052
1.7200,0.0288,0.0407,0.0054
1.7400,0.0292,0.0419,0.0056
1.7600,0.0296,0.0431,0.0057
1.7800,0.0299,0.0443,0.0058
1.8000,0.0303,0.0452,0.0060
1.8200,0.0305,0.0462,0.0061
1.8400,0.0309,0.0470,0.0062
1.8600,0.0311,0.0479,0.0063
1.8800,0.0314,0.0486,0.0064
1.9000,0.0317,0.0492,0.0064
1.9200,0.0319,0.0499,0.0065
1.9400,0.0322,0.0508,0.0066
1.9600,0.0325,0.0516,0.0067
1.9800,0.0328,0.0527,0.0068
2.0000,0.0333,0.0538,0.0069
2.0200,0.0337,0.0552,0.0070
2.0400,0.0341,0.0565,0.0072
2.0600,0.0346,0.0577,0.0073
2.0800,0.0349,0.0590,0.0074
2.1000,0.0352,0.0603,0.0075
2.1200,0.0356,0.0614,0.0076
2.1400,0.0358,0.0622,0.0078
2.1600,0.0361,0.0630,0.0078
2.1800,0.0364,0.0640,0.0079
2.2000,0.0366,0.0649,0.0080
2.2200,0.0369,0.0657,0.0080
2.2400,0.0372,0.0666,0.0081
2.2600,0.0375,0.0674,0.0082
2.2800,0.0379,0.0685,0.0082
2.3000,0.0382,0.0697,0.0083
2.3200,0.0387,0.0710,0.0084
2.3400,0.0392,0.0725,0.0086
2.3600,0.0395,0.0740,0.0087
2.3800,0.0399,0.0754,0.0088
2.4000,0.0403,0.0765,0.0088
2.4200,0.0406,0.0776,0.0089
2.4400,0.0409,0.0787,0.0090
2.4600,0.0411,0.0797,0.0090
2.4800,0.0415,0.0805,0.0091
2.5000,0.0417,0.0812,0.0091
2.5200,0.0420,0.0819,0.0091
2.5400,0.0423,0.0827,0.0092
2.5600,0.0425,0.0835,0.0093
2.5800,0.0429,0.0843,0.0093
2.6000,0.0432,0.0851,0.0094
2.6200,0.0436,0.0862,0.0094
2.6400,0.0440,0.0873,0.0095
2.6600,0.0445,0.0886,0.0096
2.6800,0.0448,0.0897,0.0097
2.7000,0.0452,0.0907,0.0097
2.7200,0.0456,0.0916,0.0098
2.7400,0.0459,0.0923,0.0098
2.7600,0.0462,0.0929,0.0098
2.7800,0.0464,0.0934,0.0098
2.8000,0.0467,0.0938,0.0099
2.8200,0.0470,0.0943,0.0100
2.8400,0.0472,0.0948,0.0100
2.8600,0.0475,0.0954,0.0099
2.8800,0.0478,0.0960,0.0100
2.9000,0.0482,0.0969,0.0100
2.9200,0.0486,0.0979,0.0101
2.9400,0.0491,0.0992,0.0102
2.9600,0.0495,0.1005,0.0103
2.9800,0.0499,0.1017,0.0103
3.0000,0.0502,0.1027,0.0104
3.0200,0.0506,0.1037,0.0104
3.0400,0.0509,0.1046,0.0104
3.0600,0.0512,0.1053,0.0105
3.0800,0.0515,0.1061,0.0105
3.1000,0.0517,0.1068,0.0105
3.1200,0.0520,0.1073,0.0105
3.1400,0.0523,0.1080,0.0105
3.1600,0.0526,0.1087,0.0106
3.1800,0.0528,0.1093,0.0106
3.2000,0.0532,0.1099,0.0107
3.2200,0.0536,0.1108,0.0107
3.2400,0.0540,0.1118,0.0107
3.2600,0.0544,0.1131,0.0108
3.2800,0.0548,0.1144,0.0108
3.3000,0.0552,0.1153,0.0109
3.3200,0.0556,0.1163,0.0109
3.3400,0.0559,0.1170,0.0109
3.3600,0.0562,0.1176,0.0109
3.3800,0.0565,0.1180,0.0109
3.4000,0.0567,0.1184,0.0109
3.4200,0.0570,0.1188,0.0109
3.4400,0.0573,0.1192,0.0108
3.4600,0.0575,0.1196,0.0108
3.4800,0.0579,0.1202,0.0108
3.5000,0.0582,0.1207,0.0108
3.5200,0.0586,0.1215,0.0109
3.5400,0.0590,0.1224,0.0109
3.5600,0.0595,0.1234,0.0109
3.5800,0.0599,0.1246,0.0110
3.6000,0.0603,0.1256,0.0110
3.6200,0.0606,0.1264,0.0110
3.6400,0.0609,0.1269,0.0111
3.6600,0.0612,0.1275,0.0111
3.6800,0.0615,0.1280,0.0111
3.7000,0.0618,0.1283,0.0111
3.7200,0.0620,0.1287,0.0111
3.7400,0.0623,0.1293,0.0111
3.7600,0.0626,0.1297,0.0112
3.7800,0.0628,0.1301,0.0112
3.8000,0.0632,0.1306,0.0112
3.8200,0.0635,0.1312,0.0112
3.8400,0.0639,0.1321,0.0113
3.8600,0.0643,0.1331,0.0113
3.8800,0.0648,0.1343,0.0114
3.9000,0.0652,0.1354,0.0115
3.9200,0.0656,0.1362,0.0115
3.9400,0.0659,0.1370,0.0116
3.9600,0.0663,0.1377,0.0116
3.9800,0.0665,0.1381,0.0116
4.0000,0.0668,0.1384,0.0116
4.0200,0.0671,0.1387,0.0117
4.0400,0.0673,0.1392,0.0117
4.0600,0.0676,0.1398,0.0117
