Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0.0000,0.0000,0.0014,0.0001
0.0200,0.0000,0.0015,0.0001
0.0400,0.0002,0.0015,0.0002
0.0600,0.0004,0.0019,0.0003
0.0800,0.0006,0.0030,0.0003
0.1000,0.0010,0.0047,0.0003
0.1200,0.0015,0.0072,0.0003
0.1400,0.0020,0.0102,0.0004
0.1600,0.0024,0.0135,0.0006
0.1800,0.0028,0.0165,0.0006
0.2000,0.0032,0.0191,0.0006
0.2200,0.0035,0.0215,0.0007
0.2400,0.0038,0.0234,0.0007
0.2600,0.0041,0.0253,0.0008
0.2800,0.0044,0.0272,0.0009
0.3000,0.0047,0.0289,0.0009
0.3200,0.0050,0.0307,0.0009
0.3400,0.0054,0.0326,0.0009
0.3600,0.0058,0.0349,0.0010
0.3800,0.0063,0.0374,0.0011
0.4000,0.0067,0.0398,0.0012
0.4200,0.0071,0.0423,0.0012
0.4400,0.0075,0.0445,0.0012
0.4600,0.0078,0.0466,0.0012
0.4800,0.0081,0.0486,0.0013
0.5000,0.0084,0.0501,0.0014
0.5200,0.0087,0.0515,0.0014
0.5400,0.0089,0.0529,0.0014
0.5600,0.0092,0.0543,0.0015
0.5800,0.0095,0.0555,0.0015
0.6000,0.0098,0.0569,0.0015
0.6200,0.0101,0.0583,0.0016
0.6400,0.0106,0.0598,0.0016
0.6600,0.0110,0.0617,0.0016
0.6800,0.0114,0.0640,0.0017
0.7000,0.0118,0.0660,0.0018
0.7200,0.0122,0.0680,0.0018
0.7400,0.0125,0.0700,0.0018
0.7600,0.0128,0.0718,0.0019
0.7800,0.0131,0.0733,0.0019
0.8000,0.0134,0.0747,0.0020
0.8200,0.0137,0.0763,0.0021
0.8400,0.0140,0.0780,0.0021
0.8600,0.0142,0.0794,0.0021
0.8800,0.0145,0.0808,0.0021
0.9000,0.0148,0.0820,0.0022
0.9200,0.0151,0.0835,0.0022
0.9400,0.0154,0.0851,0.0023
0.9600,0.0159,0.0869,0.0023
0.9800,0.0163,0.0891,0.0023
1.0000,0.0167,0.0914,0.0024
1.0200,0.0171,0.0936,0.0025
1.0400,0.0175,0.0958,0.0025
1.0600,0.0179,0.0978,0.0026
1.0800,0.0182,0.0994,0.0026
1.1000,0.0185,0.1006,0.0027
1.1200,0.0187,0.1016,0.0027
1.1400,0.0190,0.1028,0.0028
1.1600,0.0193,0.1039,0.0028
1.1800,0.0196,0.1051,0.0028
1.2000,0.0198,0.1062,0.0029
1.2200,0.0201,0.1073,0.0029
1.2400,0.0205,0.1085,0.0029
1.2600,0.0209,0.1099,0.0030
1.2800,0.0213,0.1117,0.0030
1.3000,0.0217,0.1137,0.0031
1.3200,0.0221,0.1154,0.0031
1.3400,0.0225,0.1170,0.0032
1.3600,0.0228,0.1183,0.0032
1.3800,0.0231,0.1194,0.0033
1.4000,0.0235,0.1204,0.0033
1.4200,0.0237,0.1214,0.0034
