Time,Displacement,Force
(s),(mm),(N)
0.0000,0.0000,0.1848
0.0200,0.0002,0.1911
0.0400,0.0025,0.2411
0.0600,0.0097,0.9597
0.0800,0.0190,3.1195
0.1000,0.0288,6.3784
0.1200,0.0378,9.9344
0.1400,0.0458,13.1597
0.1600,0.0532,15.8618
0.1800,0.0601,18.1908
0.2000,0.0667,20.2596
0.2200,0.0734,22.2066
0.2400,0.0800,24.1549
0.2600,0.0867,26.1084
0.2800,0.0934,27.9416
0.3000,0.1002,29.8659
0.3200,0.1068,31.8497
0.3400,0.1137,33.8511
0.3600,0.1205,35.9074
0.3800,0.1270,37.9019
0.4000,0.1338,39.6055
0.4200,0.1407,40.7920
0.4400,0.1473,41.4041
0.4600,0.1541,41.8450
0.4800,0.1607,42.7911
0.5000,0.1672,44.3563
0.5200,0.1735,46.2841
0.5400,0.1802,48.2746
0.5600,0.1869,50.2437
0.5800,0.1934,52.2438
0.6000,0.2001,54.1941
0.6200,0.2068,56.1420
0.6400,0.2134,58.0322
0.6600,0.2201,59.9297
0.6800,0.2269,61.9015
0.7000,0.2336,63.9354
0.7200,0.2402,65.9528
0.7400,0.2470,67.8886
0.7600,0.2537,69.7538
0.7800,0.2604,71.6100
0.8000,0.2672,73.4782
0.8200,0.2739,75.4100
0.8400,0.2804,77.4167
0.8600,0.2868,79.3588
0.8800,0.2935,81.2480
0.9000,0.3001,83.1801
0.9200,0.3066,85.1469
0.9400,0.3132,87.0681
0.9600,0.3200,89.0249
0.9800,0.3269,91.0747
1.0000,0.3335,93.1333
1.0200,0.3404,95.1793
1.0400,0.3470,97.1721
1.0600,0.3535,99.1472
1.0800,0.3602,101.0586
1.1000,0.3670,103.0078
1.1200,0.3739,105.0293
1.1400,0.3807,107.0544
1.1600,0.3877,109.0932
1.1800,0.3944,111.1216
1.2000,0.4008,113.1039
1.2200,0.4074,115.0094
1.2400,0.4138,116.8558
1.2600,0.4200,118.6617
1.2800,0.4267,120.4578
1.3000,0.4335,122.3362
1.3200,0.4403,124.3215
1.3400,0.4471,126.3293
1.3600,0.4539,128.2969
1.3800,0.4607,130.2771
1.4000,0.4671,132.2203
1.4200,0.4739,134.1127
1.4400,0.4807,136.0163
1.4600,0.4872,137.9197
1.4800,0.4939,139.8007
1.5000,0.5010,141.7256
1.5200,0.5076,143.7092
1.5400,0.5142,145.6528
1.5600,0.5210,147.5279
1.5800,0.5274,149.3754
1.6000,0.5336,151.1719
1.6200,0.5401,152.9224
1.6400,0.5467,154.6888
1.6600,0.5533,156.5198
1.6800,0.5601,158.3532
1.7000,0.5669,160.2154
1.7200,0.5739,162.1497
1.7400,0.5807,164.1339
1.7600,0.5876,166.1198
1.7800,0.5942,168.0468
1.8000,0.6005,169.8828
1.8200,0.6073,171.6574
1.8400,0.6141,173.4619
1.8600,0.6207,175.3419
1.8800,0.6273,177.1788
1.9000,0.6342,179.0034
1.9200,0.6407,180.8355
1.9400,0.6472,182.6275
1.9600,0.6539,184.4029
1.9800,0.6603,186.1911
2.0000,0.6668,187.9585
2.0200,0.6735,189.7052
2.0400,0.6802,191.5233
2.0600,0.6868,193.3664
2.0800,0.6937,195.1856
2.1000,0.7008,197.0417
2.1200,0.7075,198.9429
2.1400,0.7140,200.8003
2.1600,0.7206,202.5770
2.1800,0.7272,204.3107
2.2000,0.7338,206.0687
2.2200,0.7407,207.8505
2.2400,0.7475,209.6783
2.2600,0.7541,211.5247
2.2800,0.7607,213.3182
2.3000,0.7675,215.0788
2.3200,0.7740,216.8353
2.3400,0.7802,218.5735
2.3600,0.7867,220.2420
2.3800,0.7933,221.9046
2.4000,0.8001,223.6091
2.4200,0.8068,225.3777
2.4400,0.8138,227.1957
2.4600,0.8207,229.0791
2.4800,0.8275,230.9486
2.5000,0.8342,232.7475
2.5200,0.8408,234.4918
2.5400,0.8473,236.2118
2.5600,0.8540,237.9159
2.5800,0.8609,239.6658
2.6000,0.8675,241.4523
2.6200,0.8741,243.1803
2.6400,0.8807,244.8699
2.6600,0.8873,246.5733
2.6800,0.8936,248.2676
2.7000,0.9003,249.9329
2.7200,0.9070,251.6202
2.7400,0.9135,253.2995
2.7600,0.9201,254.9779
2.7800,0.9271,256.6455
2.8000,0.9338,258.4312
2.8200,0.9404,260.2240
2.8400,0.9474,261.9442
2.8600,0.9541,263.6945
2.8800,0.9607,265.4529
2.9000,0.9676,267.1519
2.9200,0.9743,268.8804
2.9400,0.9808,270.5866
2.9600,0.9874,272.2230
