Time,Displacement,Force
(s),(mm),(N)
0.0000,0.0000,0.2392
0.0200,0.0000,0.2360
0.0400,0.0000,0.2381
0.0600,0.0000,0.2378
0.0800,0.0000,0.2455
0.1000,0.0000,0.2667
0.1200,0.0004,0.2679
0.1400,0.0007,0.3178
0.1600,0.0017,0.5615
0.1800,0.0031,1.1548
0.2000,0.0045,2.1798
0.2200,0.0059,3.3895
0.2400,0.0073,4.5828
0.2600,0.0084,5.6729
0.2800,0.0091,6.6028
0.3000,0.0098,7.2777
0.3200,0.0105,7.8136
0.3400,0.0111,8.2626
0.3600,0.0118,8.6889
0.3800,0.0124,9.1342
0.4000,0.0131,9.6152
0.4200,0.0137,10.1030
0.4400,0.0144,10.6044
0.4600,0.0150,11.0697
0.4800,0.0156,11.5050
0.5000,0.0163,11.9624
0.5200,0.0171,12.4576
0.5400,0.0178,13.0348
0.5600,0.0185,13.5765
0.5800,0.0191,14.0850
0.6000,0.0197,14.5480
0.6200,0.0204,14.9933
0.6400,0.0211,15.4700
0.6600,0.0218,15.9838
0.6800,0.0224,16.5095
0.7000,0.0230,16.9637
0.7200,0.0238,17.4156
0.7400,0.0246,17.9285
0.7600,0.0253,18.4880
0.7800,0.0260,19.0245
0.8000,0.0266,19.5265
0.8200,0.0272,19.9559
0.8400,0.0277,20.3541
0.8600,0.0286,20.8159
0.8800,0.0293,21.3439
0.9000,0.0300,21.8986
0.9200,0.0308,22.4484
0.9400,0.0314,22.9701
0.9600,0.0321,23.4537
0.9800,0.0327,23.8975
1.0000,0.0333,24.3369
1.0200,0.0339,24.7634
1.0400,0.0346,25.1672
1.0600,0.0352,25.6296
1.0800,0.0359,26.1119
1.1000,0.0366,26.5902
1.1200,0.0372,27.0826
1.1400,0.0378,27.5876
1.1600,0.0385,28.0144
1.1800,0.0391,28.4130
1.2000,0.0398,28.8457
1.2200,0.0405,29.3452
1.2400,0.0411,29.8709
1.2600,0.0418,30.3597
1.2800,0.0424,30.7870
1.3000,0.0431,31.2275
1.3200,0.0438,31.7206
1.3400,0.0444,32.2214
1.3600,0.0451,32.6725
1.3800,0.0457,33.1121
1.4000,0.0465,33.5899
1.4200,0.0472,34.0921
1.4400,0.0479,34.6026
1.4600,0.0485,35.1452
1.4800,0.0491,35.6036
